x,y,boundary_flag
0.6719873202875399,0.8672852602502663,1.0
0.7452035077209798,0.8579668363951012,1.0
0.7452035077209798,0.7659474008253462,1.0
0.7957892372204474,0.6879056010383386,1.0
0.8863110689563365,0.4409673688764642,1.0
0.7798147963258787,0.1730626830404685,1.0
0.5109117079339723,0.0204734924121404,1.0
0.2393462127263046,0.1788866979499467,1.0
0.1381747537273695,0.5038667298988285,1.0
0.2673014842917998,0.7542993710063898,1.0
0.2633078740681576,0.8591316393769968,1.0
0.3418488751331204,0.8579668363951012,1.0
0.4163962659744409,0.9499862719648564,1.0
0.5188989283812566,0.9721175286208732,1.0
0.6240639976038339,0.9383382421459,1.0
0.37509708724679736,0.09969868781299251,1.0
0.5084138953566645,0.20817899450834745,0.0
0.642759930802657,0.09529083175037295,1.0
0.1917075424841317,0.33191025548771597,1.0
0.36069389403151336,0.2778511162959369,0.0
0.6593691658042488,0.2650535064681453,0.0
0.8318623497036508,0.3039948095064265,1.0
0.2808936675246749,0.4410769697309337,0.0
0.42880588477845927,0.4157489244094783,0.0
0.5684149697970686,0.38709366960784763,0.0
0.7249584548661366,0.4205444918555382,0.0
0.8418242302734347,0.5623248479305569,1.0
0.20185971057653945,0.6273794361591387,1.0
0.34770638543957016,0.5722723010708577,0.0
0.5156073022758538,0.5526160651040046,0.0
0.6753621946527629,0.5583045942015041,0.0
0.4220842268030768,0.6942405958213038,0.0
0.5057260758665514,0.803066319163741,0.0
0.6049652773597415,0.6948323326020447,0.0
0.5726475162501166,0.9548533461250213,1.0
